open,high,low,close,quoteVol,volume,timestamp,returns,log_returns,close_ma_5,close_ma_10,volatility_5,volatility_20,ema_10,ema_20,rsi_14,macd,macd_signal,bb_upper,bb_lower
2515.18,2521.67,2507.65,2520.26,19218.854,48319568.89867,2025-07-05 09:00:00,,,,,,,2520.26,2520.26,,0.0,0.0,,
2520.26,2522.03,2516.54,2517.17,12118.736,30526509.17329,2025-07-05 10:00:00,-0.001226063977526226,-0.0012268162088834285,,,,,2519.6981818181816,2519.9657142857145,,-0.2464957264955956,-0.04929914529911912,,
2517.17,2524.73,2516.42,2516.71,12567.885,31691344.16272,2025-07-05 11:00:00,-0.00018274490797209886,-0.0001827616078573707,,,,,2519.1548760330575,2519.6556462585036,,-0.47350524752255296,-0.1341403657438059,,
2516.71,2517.99,2509.39,2516.82,18968.482,47679943.19311,2025-07-05 12:00:00,4.370785668594834e-05,4.3706901525412216e-05,,,,,2518.730353117956,2519.3855847100745,,-0.63719070989373,-0.23475043457379072,,
2516.82,2520.96,2511.65,2513.11,12145.437,30554535.91986,2025-07-05 13:00:00,-0.0014740823737892095,-0.0014751699020804782,2516.814,,,,2517.708470732873,2518.7879099757815,,-1.0541272891314293,-0.39862580548531845,,
2513.11,2519.29,2510.55,2517.51,12648.323,31813241.45653,2025-07-05 14:00:00,0.0017508187067021286,0.0017492878102512235,2516.264,,0.0012786630128097981,,2517.672385145078,2518.6662042638022,,-1.017777004612526,-0.5224560453107601,,
2517.51,2517.81,2503.94,2506.88,17691.08,44403677.24008,2025-07-05 15:00:00,-0.0042224261274037556,-0.00423136574205405,2514.206,,0.0022229189586577144,,2515.7101333005185,2517.5437086196307,,-1.8256760466033484,-0.7831000455692778,,
2506.88,2512.32,2490.29,2504.81,41498.296,103770563.89093,2025-07-05 16:00:00,-0.0008257275976513156,-0.0008260686984679087,2511.826,,0.0021954872091273048,,2513.728290882242,2516.33097446538,,-2.6029681615927984,-1.147073668773982,,
2504.81,2511.05,2494.73,2502.77,18738.096,46889681.67371,2025-07-05 17:00:00,-0.0008144330308486047,-0.0008147648616109957,2509.016,,0.0021314284897393974,,2511.735874358198,2515.0394530877247,,-3.3450292982756764,-1.5866647946743209,,
2502.77,2504.23,2490.82,2491.83,13937.313,34774600.59191,2025-07-05 18:00:00,-0.004371156758311789,-0.00438073819551847,2504.76,2510.7870000000003,0.0025958806078154885,,2508.1166244748892,2512.8290289841316,,-4.761002789428403,-2.2215323936251377,,
