open,high,low,close,quoteVol,volume,timestamp
2491.83,2507.7,2486.34,2504.51,19641.792,49042275.1546,2025-07-05 19:00:00
2502.77,2504.23,2490.82,2491.83,13937.313,34774600.59191,2025-07-05 18:00:00
2504.81,2511.05,2494.73,2502.77,18738.096,46889681.67371,2025-07-05 17:00:00
2506.88,2512.32,2490.29,2504.81,41498.296,103770563.89093,2025-07-05 16:00:00
2517.51,2517.81,2503.94,2506.88,17691.08,44403677.24008,2025-07-05 15:00:00
2513.11,2519.29,2510.55,2517.51,12648.323,31813241.45653,2025-07-05 14:00:00
2516.82,2520.96,2511.65,2513.11,12145.437,30554535.91986,2025-07-05 13:00:00
2516.71,2517.99,2509.39,2516.82,18968.482,47679943.19311,2025-07-05 12:00:00
2517.17,2524.73,2516.42,2516.71,12567.885,31691344.16272,2025-07-05 11:00:00
2520.26,2522.03,2516.54,2517.17,12118.736,30526509.17329,2025-07-05 10:00:00
